"","Movie","budget","dom_gross","year","month","day","RT_title","RT_aud_score","RT_crit_score","RT_runtime","RT_cast1","RT_cast2","RT_cast3","imdb_id","Metascore","Language","Director","Genre","imdbRating","imdbVotes","mpaa_kid","mpaa_adult","Holiday","DayOfWeek"
"1907","Crocodile Hunter: Collision Course",12500000,28436931,2002,7,12,"The Crocodile Hunter - Collision Course",43,53,90,"Steve Irwin","Terri Irwin","Magda Szubanski","tt0305396",50,"English","John Stainton","Action, Adventure, Comedy",5.4,5192,1,0,0,4
"1908","Machete",12500000,26593646,2010,9,3,"Machete",64,72,105,"Danny Trejo","Robert De Niro","Jessica Alba","tt0985694",60,"English, Spanish, Hungarian","Ethan Maniquis, Robert Rodriguez","Action, Crime, Thriller",6.8,136364,0,1,0,4
"1909","Antwone Fisher",12500000,21078145,2002,12,19,"Antwone Fisher",86,79,120,"Derek Luke","Joy Bryant","Denzel Washington","tt0168786",62,"English, Japanese","Denzel Washington","Biography, Drama, Romance",7.3,21871,1,0,0,3
"1910","The Emperor's Club",12500000,14060950,2002,11,22,"The Emperor's Club",68,50,109,"Kevin Kline","Emile Hirsch","Jesse Eisenberg","tt0283530",49,"English","Michael Hoffman","Drama",6.9,12170,1,0,0,4
"1911","True Romance",12500000,12281000,1993,9,10,"True Romance",93,92,116,"Christian Slater","Patricia Arquette","Dennis Hopper","tt0108399",57,"English, Italian","Tony Scott","Crime, Thriller",8,128730,0,1,0,4
"1912","Sorority Row",12500000,11965282,2009,9,11,"Sorority Row",32,22,101,"Briana Evigan","Leah Pipes","Rumer Willis","tt1232783",24,"English","Stewart Hendler","Horror, Thriller",5.1,19364,0,1,0,4
"1913","Glengarry Glen Ross",12500000,10725228,1992,9,30,"Glengarry Glen Ross",89,94,100,"Al Pacino","Jack Lemmon","Ed Harris","tt0104348",80,"English","James Foley","Drama",7.9,59197,0,1,0,2
"1914","The Boy in the Striped Pajamas",12500000,9046156,2008,11,7,"The Boy in the Striped Pajamas (The Boy in the Striped Pyjamas)",85,63,106,"Asa Butterfield","Jack Scanlon","Amber Beattie","tt0914798",55,"English","Mark Herman","Drama, History, War",7.8,85988,1,0,0,4
"1915","Conviction",12500000,6797696,2010,10,15,"Conviction",71,67,107,"Hilary Swank","Sam Rockwell","Minnie Driver","tt1244754",61,"English","Tony Goldwyn","Biography, Drama",7.2,27465,0,1,0,4
"1916","Lars and the Real Girl",12500000,5956480,2007,10,12,"Lars and the Real Girl",84,81,106,"Ryan Gosling","Emily Mortimer","Paul Schneider","tt0805564",70,"English, Spanish","Craig Gillespie","Comedy, Drama",7.4,93035,1,0,0,4
"1917","Solitary Man",12500000,4360548,2010,5,21,"Solitary Man",50,81,90,"Michael Douglas","Mary-Louise Parker","Jenna Fischer","tt1294213",69,"English, Spanish","Brian Koppelman, David Levien","Comedy, Drama, Romance",6.4,11020,0,1,0,4
"1918","Dancer in the Dark",12500000,4157491,2000,9,22,"Dancer in the Dark",92,68,137,"Bjork","Catherine Deneuve","David Morse","tt0168629",61,"English","Lars von Trier","Crime, Drama, Musical",8,62784,0,1,0,4
"1919","Casino Jack",12500000,2039869,2010,12,17,"Casino Jack",35,38,108,"Kevin Spacey","Barry Pepper","Jon Lovitz","tt1194417",51,"English","George Hickenlooper","Biography, Comedy, Crime",6.2,11803,0,1,0,4
"1920","Oscar and Lucinda",12500000,1612957,1997,12,31,"Oscar and Lucinda",66,66,132,"Ralph Fiennes","Cate Blanchett","Ciaran Hinds","tt0119843",66,"English, French","Gillian Armstrong","Drama, Romance",6.7,4933,0,1,1,2
"1921","American Pie",12000000,101800948,1999,7,9,"American Pie",60,61,96,"Jason Biggs","Shannon Elizabeth","Alyson Hannigan","tt0163651",58,"English","Paul Weitz, Chris Weitz","Comedy, Romance",7,250540,0,1,0,4
"1922","Think Like a Man",12000000,91547205,2012,4,20,"Think Like a Man",80,53,123,"Michael Ealy","Jerry Ferrara","Meagan Good","tt1621045",51,"English","Tim Story","Comedy, Romance",6.5,22433,1,0,0,4
"1923","Star Trek II: The Wrath of Khan",12000000,79912963,1982,6,4,"Star Trek II - The Wrath of Khan",90,90,113,"William Shatner","Leonard Nimoy","DeForest Kelley","tt0084726",71,"English","Nicholas Meyer","Action, Adventure, Drama",7.8,74450,1,0,0,4
"1924","Barbershop",12000000,75781642,2002,9,13,"Barbershop",62,82,102,"Ice Cube","Anthony Anderson","Cedric the Entertainer","tt0303714",66,"English","Tim Story","Comedy, Drama",6.3,17293,1,0,0,4
"1925","Ace Ventura: Pet Detective",12000000,72217396,1994,2,4,"Ace Ventura: Pet Detective",57,45,86,"Jim Carrey","Courteney Cox","Sean Young","tt0109040",37,"English","Tom Shadyac","Comedy",6.9,156273,1,0,0,4
"1926","Act of Valor",12000000,70012847,2012,2,24,"Act of Valor",73,25,101,"Roselyn Sanchez","Alex Veadov","Nestor Serrano","tt1591479",40,"English, Russian","Mike McCoy, Scott Waugh","Action, Thriller, War",6.5,46762,0,1,0,4
"1927","Witness",12000000,65532576,1985,2,8,"Witness",80,91,112,"Harrison Ford","Kelly McGillis","Josef Sommer","tt0090329",76,"English, German","Peter Weir","Crime, Drama, Romance",7.5,52898,0,1,0,4
"1928","Step Up",12000000,65328121,2006,8,11,"Step Up",83,19,103,"Channing Tatum","Jenna Dewan Tatum","Mario","tt0462590",48,"English","Anne Fletcher","Crime, Drama, Music",6.5,62018,1,0,0,4
"1929","Chronicle",12000000,64575175,2012,2,3,"Chronicle",71,85,83,"Dane DeHaan","Alex Russell","Michael B. Jordan","tt1706593",69,"English","Josh Trank","Drama, Sci-Fi, Thriller",7.1,153390,1,0,0,4
"1930","Beavis and Butt-head Do America",12000000,63118386,1996,12,20,"Beavis and Butt-Head Do America",70,72,80,"Mike Judge","Cloris Leachman","Robert Stack","tt0115641",64,"English","Mike Judge, Mike de Seve, Brian Mulroney, Yvette Kaplan","Animation, Adventure, Comedy",6.7,36148,1,0,0,4
"1931","Project X",12000000,54731865,2012,3,2,"Project X",61,28,88,"Thomas Mann","Oliver Cooper","Jonathan Brown","tt1636826",48,"English","Nima Nourizadeh","Comedy, Crime",6.7,117336,0,1,0,4
"1932","Jackie Brown",12000000,39673162,1997,12,25,"Jackie Brown",85,86,154,"Pam Grier","Samuel L. Jackson","Robert Forster","tt0119396",64,"English","Quentin Tarantino","Crime, Drama, Thriller",7.5,183038,0,1,1,3
"1933","Harold & Kumar Escape from Guantanamo Bay",12000000,38108728,2008,4,25,"Harold & Kumar Escape from Guantanamo Bay",60,53,101,"John Cho","Kal Penn","Rob Corddry","tt0481536",57,"English","Jon Hurwitz, Hayden Schlossberg","Adventure, Comedy",6.7,94567,0,1,0,4
"1934","Crossroads",12000000,37188667,2002,2,15,"Crossroads",39,14,94,"Britney Spears","Zoe Saldana","Anson Mount","tt0275022",27,"English","Tamra Davis","Adventure, Comedy, Drama",3.1,30012,1,0,0,4
"1935","Quarantine",12000000,31691811,2008,10,10,"Quarantine",45,58,89,"Jennifer Carpenter","Steve Harris","Jay Hernandez","tt1082868",53,"English","John Erick Dowdle","Horror, Thriller",6.1,45986,0,1,0,4
"1936","The Eye",12000000,31418697,2008,2,1,"The Eye",44,22,97,"Jessica Alba","Alessandro Nivola","Parker Posey","tt0406759",36,"English, Spanish","David Moreau, Xavier Palud","Drama, Horror, Thriller",5.3,36231,1,0,0,4
"1937","Johnson Family Vacation",12000000,31203964,2004,4,7,"Johnson Family Vacation",44,6,97,"Cedric the Entertainer","Vanessa L. Williams","Solange Knowles","tt0359517",29,"English","Christopher Erskin","Comedy",4.1,4873,1,0,0,2
"1938","How High",12000000,31155435,2001,12,21,"How High",79,27,94,"Method Man","Redman","Obba Babatunde","tt0278488",29,"English","Jesse Dylan","Comedy",6.2,32996,0,1,0,4
"1939","Crank",12000000,27838408,2006,9,1,"Crank",71,61,87,"Jason Statham","Amy Smart","Jose Pablo Cantillo","tt0479884",57,"English, Spanish, Korean","Mark Neveldine, Brian Taylor","Action, Crime, Thriller",7,153354,0,1,0,4
"1940","Frida",12000000,25885000,2002,10,25,"Frida",86,76,122,"Salma Hayek","Alfred Molina","Geoffrey Rush","tt0120679",61,"English, French, Russian","Julie Taymor","Biography, Drama, Romance",7.4,48799,0,1,0,4
"1941","Faster",12000000,23240020,2010,11,24,"Faster",49,43,98,"Dwayne ""The Rock"" Johnson","Billy Bob Thornton","Oliver Jackson-Cohen","tt1433108",44,"English","George Tillman Jr.","Action, Crime, Drama",6.5,65091,0,1,1,2
"1942","Rounders",12000000,22921898,1998,9,11,"Rounders",88,65,120,"Matt Damon","Edward Norton","John Turturro","tt0128442",54,"English, Hebrew, Russian","John Dahl","Crime, Drama",7.4,99399,0,1,0,4
"1943","Aquamarine",12000000,18597342,2006,3,3,"Aquamarine",62,51,103,"Emma Roberts","Joanna 'JoJo' Levesque","Sara Paxton","tt0429591",51,"English","Elizabeth Allen Rosenbaum","Comedy, Family, Fantasy",5.2,21838,1,0,0,4
"1944","My Baby's Daddy",12000000,17321573,2004,1,9,"My Baby's Daddy",48,4,86,"Eddie Griffin","Anthony Anderson","Michael Imperioli","tt0332712",23,"English","Cheryl Dunye","Comedy",4.4,2792,1,0,0,4
"1945","Max Keeble's Big Move",12000000,17292381,2001,10,5,"Max Keeble's Big Move",38,29,86,"Alex D. Linz","Larry Miller","Jamie Kennedy","tt0273799",40,"English","Tim Hill","Comedy, Crime, Family",5.3,4674,1,0,0,4
"1946","Young Adult",12000000,16311571,2011,12,9,"Young Adult",49,80,93,"Charlize Theron","Patton Oswalt","Patrick Wilson","tt1625346",71,"English","Jason Reitman","Comedy, Drama",6.3,53484,0,1,0,4
"1947","About Time",12000000,15323921,2013,11,1,"About Time",82,69,123,"Tom Hughes","Domhnall Gleeson","Rachel McAdams","tt2194499",55,"English","Richard Curtis","Drama, Fantasy, Romance",7.9,70611,0,1,0,4
"1948","Nebraska",12000000,14240068,2013,11,15,"Nebraska",86,92,115,"Bruce Dern","Will Forte","Bob Odenkirk","tt1821549",86,"English, Spanish","Alexander Payne","Adventure, Drama",8.1,10054,0,1,0,4
"1949","Living Out Loud",12000000,12905901,1998,10,30,"Living Out Loud",64,59,100,"Holly Hunter","Danny DeVito","Queen Latifah","tt0120722",64,"English","Richard LaGravenese","Comedy, Drama, Romance",6.6,3789,0,1,0,4
"1950","Rachel Getting Married",12000000,12796861,2008,10,3,"Rachel Getting Married",62,85,113,"Anne Hathaway","Rosemarie DeWitt","Bill Irwin","tt1084950",82,"English","Jonathan Demme","Drama, Romance",6.7,35625,0,1,0,4
"1951","Girl with a Pearl Earring",12000000,11634362,2003,12,12,"Girl With a Pearl Earring",68,72,95,"Scarlett Johansson","Colin Firth","Tom Wilkinson","tt0335119",72,"English","Peter Webber","Biography, Drama, Romance",7,48167,1,0,0,4
"1952","Das Boot",12000000,11487676,1982,2,10,"Das Boot (The Boat)",96,98,145,"Jurgen Prochnow","Herbert Gronemeyer","Klaus Wennemann","tt0082096",86,"German, English, French","Wolfgang Petersen","Action, Adventure, Drama",8.5,125404,0,1,0,2
"1953","House of Flying Daggers",12000000,11050094,2004,12,3,"House of Flying Daggers",82,88,119,"Takeshi Kaneshiro","Ziyi Zhang","Andy Lau","tt0385004",89,"Mandarin","Yimou Zhang","Action, Adventure, Drama",7.6,75550,1,0,0,4
"1954","Sorority Boys",12000000,10198766,2002,3,22,"Sorority Boys",54,13,93,"Heather Matarazzo","Harland Williams","Yvonne Scio","tt0279781",25,"English","Wallace Wolodarsky","Comedy",5.4,10563,0,1,0,4
"1955","Cadillac Records",12000000,8138000,2008,12,5,"Cadillac Records",66,67,108,"Adrien Brody","Jeffrey Wright","Gabrielle Union","tt1042877",65,"English","Darnell Martin","Biography, Drama, History",6.9,11813,0,1,0,4
"1956","Screwed",12000000,6982680,2000,5,12,"Screwed",48,13,82,"Norm Macdonald","Dave Chappelle","Elaine Stritch","tt0156323",7,"English","Scott Alexander, Larry Karaszewski","Comedy, Crime",5.6,6271,1,0,0,4
"1957","For Your Consideration",12000000,5549923,2006,11,17,"For Your Consideration",43,51,86,"Bob Balaban","Jennifer Coolidge","Christopher Guest","tt0470765",68,"English","Christopher Guest","Comedy",6.3,10878,1,0,0,4
"1958","Celebrity",12000000,5078660,1998,11,20,"Celebrity",44,41,113,"Kenneth Branagh","Judy Davis","Famke Janssen","tt0120533",41,"English","Woody Allen","Comedy, Drama",6.3,16925,0,1,0,4
"1959","From Justin to Kelly",12000000,4922166,2003,6,20,"From Justin To Kelly",38,7,81,"Kelly Clarkson","Justin Guarini","Katherine Bailess","tt0339034",14,"English","Robert Iscove","Comedy, Musical, Romance",2.1,22514,1,0,1,4
"1960","Girl 6",12000000,4880941,1996,3,22,"Girl 6",39,33,107,"Theresa Randle","Isaiah Washington","Spike Lee","tt0116414",44,"English","Spike Lee","Comedy, Drama",5,4467,0,1,0,4
"1961","In the Cut",12000000,4717455,2003,10,22,"In the Cut",35,34,119,"Meg Ryan","Mark Ruffalo","Kevin Bacon","tt0199626",46,"English","Jane Campion","Mystery, Thriller",5.3,16531,0,1,0,2
"1962","Charlie Bartlett",12000000,3950294,2008,2,22,"Charlie Bartlett",72,56,97,"Anton Yelchin","Robert Downey Jr.","Hope Davis","tt0423977",54,"English","Jon Poll","Comedy, Drama, Romance",7.1,47205,0,1,0,4
"1963","Two Lovers",12000000,3149034,2009,2,13,"Two Lovers",58,82,100,"Joaquin Phoenix","Gwyneth Paltrow","Vinessa Shaw","tt1103275",74,"English","James Gray","Drama, Romance",7.1,23925,0,1,0,4
"1964","Last Orders",12000000,2326407,2002,2,15,"Last Orders",72,79,109,"Michael Caine","Bob Hoskins","Tom Courtenay","tt0253200",78,"English","Fred Schepisi","Drama",7,4312,0,1,0,4
"1965","Gwoemul",12000000,2201923,2007,3,9,"Gwoemul (The Host)",71,93,119,"Song Kang-ho","Byun Hee-bong","Park Hae-il","tt0468492",85,"Korean, English","Joon-ho Bong","Action, Horror, Sci-Fi",7,52648,0,1,0,4
"1966","Ravenous",12000000,2062406,1999,3,19,"Ravenous",79,40,100,"Guy Pearce","Robert Carlyle","Jeremy Davies","tt0129332",45,"English, Italian, Spanish, Washoe","Antonia Bird","Horror, Thriller",7.1,23700,0,1,0,4
"1967","Married Life",12000000,1506998,2008,3,7,"Married Life",36,55,90,"Pierce Brosnan","Chris Cooper","Rachel McAdams","tt0804505",65,"English","Ira Sachs","Crime, Drama, Romance",6.3,6979,1,0,0,4
"1968","2046",12000000,1442338,2005,8,5,"2046",85,85,123,"Li Gong","Takuya Kimura","Faye Wong","tt0212712",78,"Cantonese, Japanese, Mandarin","Kar Wai Wong","Drama, Fantasy, Romance",7.5,34695,0,1,0,4
"1969","The Fighter",11000000,93617009,2010,12,10,"The Fighter",89,91,115,"Mark Wahlberg","Christian Bale","Amy Adams","tt0964517",79,"English","David O. Russell","Biography, Drama, Sport",7.9,195814,0,1,0,4
"1970","High School Musical 3: Senior Year",11000000,90559416,2008,10,24,"High School Musical 3: Senior Year",72,65,109,"Zac Efron","Vanessa Hudgens","Ashley Tisdale","tt0962726",57,"English","Kenny Ortega","Comedy, Drama, Family",4.2,33607,1,0,0,4
"1971","Jackass: Number Two",11000000,72778712,2006,9,22,"Jackass: Number Two",81,63,92,"Johnny Knoxville","Stephen 'Steve-O' Glover","Chris Pontius","tt0493430",66,"English","Jeff Tremaine","Documentary, Action, Comedy",7.2,46281,0,1,0,4
"1972","Phone Booth",11000000,46566212,2003,4,4,"Phone Booth",64,71,80,"Colin Farrell","Kiefer Sutherland","Forest Whitaker","tt0183649",56,"English, Swahili","Joel Schumacher","Mystery, Thriller",7.1,158250,0,1,0,4
"1973","Dead Man Walking",11000000,39387284,1995,12,29,"Dead Man Walking",86,93,120,"Susan Sarandon","Sean Penn","Robert Prosky","tt0112818",80,"English","Tim Robbins","Crime, Drama",7.6,61342,0,1,0,4
"1974","Cruel Intentions",11000000,38230075,1999,3,5,"Cruel Intentions",81,49,94,"Sarah Michelle Gellar","Ryan Phillippe","Reese Witherspoon","tt0139134",56,"English, Vietnamese, French","Roger Kumble","Drama, Romance",6.9,123557,0,1,0,4
"1975","The Secret Life of Bees",11000000,37770162,2008,10,17,"The Secret Life of Bees",79,58,105,"Dakota Fanning","Jennifer Hudson","Queen Latifah","tt0416212",57,"English","Gina Prince-Bythewood","Drama",7.3,15287,1,0,0,4
"1976","Saw VI",11000000,27693292,2009,10,23,"Saw VI",56,37,91,"Costas Mandylor","Tobin Bell","Betsy Russell","tt1233227",30,"English","Kevin Greutert","Horror, Mystery",6,54890,0,1,0,4
"1977","Corky Romano",11000000,23978402,2001,10,12,"Corky Romano",39,6,85,"Chris Kattan","Vinessa Shaw","Peter Falk","tt0250310",20,"English, Vietnamese, Spanish, Thai","Rob Pritts","Comedy, Crime",4.6,9808,1,0,0,4
"1978","Out Cold",11000000,13906394,2001,11,21,"Out Cold",85,8,89,"Jason London","Lee Majors","Willie Garson","tt0253798",22,"English","Brendan Malloy, Emmett Malloy","Comedy, Sport",6.3,13065,1,0,1,2
"1979","The Ladies Man",11000000,13592872,2000,10,13,"The Ladies Man",43,11,84,"Tim Meadows","Karyn Parsons","Billy Dee Williams","tt0213790",22,"English","Reginald Hudlin","Comedy",5.1,9412,0,1,0,4
"1980","Frailty",11000000,13110448,2002,4,12,"Frailty",79,73,99,"Bill Paxton","Matthew McConaughey","Powers Boothe","tt0264616",64,"English","Bill Paxton","Crime, Drama, Thriller",7.4,46723,0,1,0,4
"1981","Army of Darkness",11000000,11502976,1993,2,19,"Army of Darkness",87,70,81,"Bruce Campbell","Embeth Davidtz","Marcus Gilbert","tt0106308",57,"English","Sam Raimi","Comedy, Fantasy, Horror",7.6,100101,0,1,0,4
"1982","Kinsey",11000000,10214647,2004,11,12,"Kinsey",75,90,118,"Liam Neeson","Laura Linney","Chris O'Donnell","tt0362269",79,"English","Bill Condon","Biography, Drama",7.1,37473,0,1,1,4
"1983","Slackers",11000000,4814244,2002,2,1,"Slackers",52,10,86,"Devon Sawa","Jason Schwartzman","James King","tt0240900",12,"English","Dewey Nicks","Comedy, Romance",5.3,11267,0,1,0,4
"1984","The Gospel of John",11000000,4068087,2003,9,26,"The Visual Bible: The Gospel of John",87,36,180,"Henry Ian Cusick","Christopher Plummer","Daniel Kash","tt0377992",52,"English","Philip Saville","Biography, Drama, History",7.6,1704,1,0,0,4
"1985","The Guru",11000000,3051221,2003,1,31,"The Guru",40,57,91,"Heather Graham","Marisa Tomei","Jimi Mistry","tt0280720",47,"English, Hindi","Daisy von Scherler Mayer","Comedy, Fantasy, Music",5.5,12465,0,1,0,4
"1986","Saw V",10800000,56746769,2008,10,24,"Saw V",53,12,95,"Tobin Bell","Julie Benz","Meagan Good","tt1132626",20,"English","David Hackl","Crime, Horror, Thriller",5.8,65331,0,1,0,4
"1987","An Ideal Husband",10700000,18542974,1999,6,18,"An Ideal Husband",71,85,96,"Rupert Everett","Julianne Moore","Jeremy Northam","tt0122541",67,"English","Oliver Parker","Comedy, Romance",6.9,11070,1,0,0,4
"1988","Darkness",10600000,22163442,2004,12,25,"Darkness",31,4,102,"Anna Paquin","Lena Olin","Iain Glen","tt0273517",15,"English","Jaume Balagueró","Horror",5.4,14348,1,0,1,5
"1989","ET: The Extra-Terrestrial",10500000,435110554,1982,6,11,"E.T. The Extra-Terrestrial",71,98,114,"Henry Thomas","Dee Wallace","Peter Coyote","tt0083866",94,"English","Steven Spielberg","Adventure, Family, Fantasy",7.9,216788,1,0,1,4
"1990","In the Land of Women",10500000,11052958,2007,4,20,"In the Land of Women",52,43,98,"Adam Brody","Kristen Stewart","Meg Ryan","tt0419843",47,"English","Jon Kasdan","Comedy, Drama, Romance",6.6,24297,1,0,0,4
"1991","September Dawn",10100000,1066555,2007,8,24,"September Dawn",48,13,111,"Jon Voight","Trent Ford","Tamara Hope","tt0473700",25,"N/A","Christopher Cain","Drama, History, Western",5.7,2399,0,1,0,4
"1992","Good Will Hunting",10000000,138433435,1997,12,5,"Good Will Hunting",94,97,126,"Matt Damon","Robin Williams","Ben Affleck","tt0119217",70,"English","Gus Van Sant","Drama",8.2,406497,0,1,0,4
"1993","The Grudge",10000000,110359362,2004,10,22,"The Grudge",47,39,91,"Sarah Michelle Gellar","Jason Behr","William Mapother","tt0391198",49,"English, Japanese","Takashi Shimizu","Horror, Mystery, Thriller",5.8,85641,1,0,0,4
"1994","Saw III",10000000,80238724,2006,10,27,"Saw III",71,28,108,"Tobin Bell","Shawnee Smith","Angus Macfadyen","tt0489270",48,"English","Darren Lynn Bousman","Crime, Horror, Thriller",6.2,109769,0,1,0,4
"1995","Bring it On",10000000,68353550,2000,8,25,"Bring It On",66,64,100,"Kirsten Dunst","Jesse Bradford","Gabrielle Union","tt0204946",52,"English","Peyton Reed","Comedy, Sport",5.9,56216,1,0,0,4
"1996","She's All That",10000000,63465522,1999,1,29,"She's All That",56,38,95,"Freddie Prinze Jr.","Rachael Leigh Cook","Matthew Lillard","tt0160862",51,"English","Robert Iscove","Comedy, Romance",5.7,51664,1,0,0,4
"1997","Saw IV",10000000,63300095,2007,10,26,"Saw IV",63,17,92,"Tobin Bell","Costas Mandylor","Scott Patterson","tt0890870",36,"English","Darren Lynn Bousman","Crime, Horror, Thriller",5.9,84844,0,1,0,4
"1998","Madea's Family Reunion",10000000,63257940,2006,2,24,"Madea's Family Reunion",84,25,107,"Tyler Perry","Blair Underwood","Lynn Whitfield","tt0455612",45,"English, Spanish","Tyler Perry","Comedy, Drama, Romance",4.8,7751,1,0,0,4
"1999","White Noise",10000000,56094360,2005,1,7,"White Noise",31,9,98,"Michael Keaton","Chandra West","Deborah Kara Unger","tt0375210",30,"English","Geoffrey Sax","Drama, Horror, Mystery",5.5,36181,1,0,0,4
"2000","Precious (Based on the Novel Push by Sapphire)",10000000,47566524,2009,11,6,"Precious: Based on the Novel Push by Sapphire",81,91,110,"Gabourey Sidibe","Lenny Kravitz","Paula Patton","tt0929632",79,"English, Italian","Lee Daniels","Drama",7.4,64577,0,1,0,4
"2001","The Best Exotic Marigold Hotel",10000000,46383639,2012,5,4,"The Best Exotic Marigold Hotel",79,78,123,"Tom Wilkinson","Maggie Smith","Judi Dench","tt1412386",62,"English, Hindi","John Madden","Comedy, Drama",7.3,50062,1,0,0,4
"2002","Bill & Ted's Excellent Adventure",10000000,40485039,1989,2,17,"Bill & Ted's Excellent Adventure",75,81,105,"Keanu Reeves","Alex Winter","George Carlin","tt0096928",44,"English, French, German","Stephen Herek","Adventure, Comedy, Sci-Fi",6.9,67221,1,0,0,4
"2003","Happy Gilmore",10000000,38623460,1996,2,16,"Happy Gilmore",85,60,92,"Adam Sandler","Christopher McDonald","Julie Bowen","tt0116483",31,"English","Dennis Dugan","Comedy, Sport",7,113678,1,0,0,4
"2004","Jeepers Creepers",10000000,37904175,2001,8,31,"Jeepers Creepers",48,45,89,"Gina Philips","Justin Long","Jonathan Breck","tt0263488",49,"English","Victor Salva","Horror, Mystery",6,65419,0,1,0,4
"2005","Recess: School's Out",10000000,36696761,2001,2,16,"Recess: School's Out",54,61,82,"Rickey D'Shon Collins","Jason Davis","Ashley Johnson","tt0265632",43,"English","Chuck Sheetz","Animation, Family, Comedy",6.5,4613,1,0,0,4
"2006","Friday After Next",10000000,33253609,2002,11,22,"Friday After Next",76,25,82,"Ice Cube","Mike Epps","Starletta DuPois","tt0293815",35,"English","Marcus Raboy","Comedy, Drama",5.7,13427,0,1,0,4
"2007","Nick and Norah's Infinite Playlist",10000000,31487293,2008,10,3,"Nick and Norah's Infinite Playlist",65,74,89,"Michael Cera","Kat Dennings","Alexis Dziena","tt0981227",64,"English","Peter Sollett","Comedy, Drama, Music",6.7,58405,1,0,0,4
"2008","Dogma",10000000,30651422,1999,11,12,"Dogma",86,67,128,"Ben Affleck","George Carlin","Matt Damon","tt0120655",62,"English","Kevin Smith","Adventure, Comedy, Fantasy",7.4,152648,0,1,1,4
"2009","The Banger Sisters",10000000,30306281,2002,9,20,"The Banger Sisters",42,47,98,"Goldie Hawn","Susan Sarandon","Geoffrey Rush","tt0280460",48,"English","Bob Dolman","Comedy, Drama",5.6,10796,0,1,0,4
"2010","Snatch",10000000,30093107,2000,12,8,"Snatch",94,73,103,"Benicio Del Toro","Dennis Farina","Vinnie Jones","tt0208092",55,"English, Russian","Guy Ritchie","Comedy, Crime",8.4,425739,0,1,0,4
"2011","Twilight Zone: The Movie",10000000,29500000,1983,6,24,"Twilight Zone: The Movie",55,65,120,"Dan Aykroyd","Jeff Bannister","Patricia Barry","tt0086491",38,"English, French, German, Vietnamese","Joe Dante, John Landis, George Miller, Steven Spielberg","Fantasy, Horror, Sci-Fi",6.5,20715,1,0,0,4
"2012","One Direction: This is Us",10000000,28873374,2013,8,30,"One Direction: This Is Us",79,62,70,"Harry Styles","Niall Horan","Zayn Malik","tt2515086",49,"English, Portuguese","Morgan Spurlock","Documentary, Music",3.8,18164,1,0,0,4
"2013","Swimfan",10000000,28564995,2002,9,6,"Swimfan",32,14,84,"Jesse Bradford","Erika Christensen","Shiri Appleby","tt0283026",29,"English","John Polson","Thriller, Drama",4.9,14277,1,0,0,4
"2014","Employee of the Month",10000000,28444855,2006,10,6,"Employee of the Month",53,20,107,"Dane Cook","Jessica Simpson","Dax Shepard","tt0424993",36,"English","Greg Coolidge","Comedy, Romance",5.4,31046,1,0,0,4
"2015","The Fourth Kind",10000000,26218170,2009,11,6,"The Fourth Kind",41,19,98,"Milla Jovovich","Elias Koteas","Will Patton","tt1220198",34,"English, Aboriginal","Olatunde Osunsanmi","Mystery, Sci-Fi, Thriller",5.9,50453,1,0,0,4
"2016","The Outsiders",10000000,25697647,1983,3,25,"The Outsiders",83,65,92,"C. Thomas Howell","Matt Dillon","Ralph Macchio","tt0086066",38,"English","Francis Ford Coppola","Crime, Drama",7.2,44813,1,0,0,4
"2017","Can't Hardly Wait",10000000,25358996,1998,6,12,"Can't Hardly Wait",64,44,100,"Jennifer Love Hewitt","Ethan Embry","Charlie Korsmo","tt0127723",52,"English","Harry Elfont, Deborah Kaplan","Comedy, Romance",6.5,31719,1,0,1,4
"2018","Sparkle",10000000,24397469,2012,8,17,"Sparkle",66,57,116,"Jordin Sparks","Whitney Houston","Derek Luke","tt1876451",54,"English","Salim Akil","Drama, Music",5.5,4203,1,0,0,4
"2019","Skyline",10000000,21416355,2010,11,12,"Skyline",18,15,92,"Eric Balfour","Scottie Thompson","Brittany Daniel","tt1564585",26,"English","Colin Strause, Greg Strause","Action, Sci-Fi, Thriller",4.4,65030,1,0,1,4
"2020","The Dead Zone",10000000,20766000,1983,10,21,"The Dead Zone",76,90,103,"Christopher Walken","Brooke Adams","Tom Skerritt","tt0085407",69,"English, Russian","David Cronenberg","Horror, Sci-Fi, Thriller",7.3,34065,0,1,0,4
"2021","Valentine",10000000,20384136,2001,2,2,"Valentine",33,8,96,"David Boreanaz","Denise Richards","Marley Shelton","tt0242998",18,"English","Jamie Blanks","Horror, Thriller",4.6,17758,0,1,0,4
"2022","Reno 911!: Miami",10000000,20342161,2007,2,23,"Reno 911!: Miami",51,34,80,"Lennie Loftin","Danny DeVito","Robert Ben Garant","tt0499554",47,"English","Robert Ben Garant","Comedy, Crime",5.9,21646,0,1,0,4
"2023","Kit Kittredge: An American Girl",10000000,17657973,2008,6,20,"Kit Kittredge: An American Girl",69,78,94,"Abigail Breslin","Julia Ormond","Chris O'Donnell","tt0846308",63,"English","Patricia Rozema","Drama, Family",6.7,3873,1,0,0,4
"2024","Rushmore",10000000,17105219,1998,12,11,"Rushmore",92,87,93,"Jason Schwartzman","Bill Murray","Olivia Williams","tt0128445",86,"English, Spanish, Latin, French","Wes Anderson","Comedy, Drama",7.8,100998,0,1,0,4
